sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
37	2	0.00472083	0.002369633	2.40E-07	9.92E-07	1.88E-05	0.00E+00	0.000122224	81.87639354	0.579094046	500.9394599	0.000490982
38	2	0.004032259	0.00281744	2.09E-07	7.05E-07	2.21E-05	0.00E+00	0.000242243	45.16135349	0.187049929	202.9062472	5.92E-05
39	2	0.003886987	0.002234835	1.80E-07	7.28E-07	1.85E-05	0.00E+00	0.000201572	57.36971355	0.220307328	254.4706592	0.00029764
40	2	0.003342063	0.002524964	2.30E-07	6.12E-07	2.86E-05	0.00E+00	0.000246066	47.15933062	0.135340097	173.3591177	0.000286632
41	2	0.004954436	0.00315705	1.74E-07	7.84E-07	2.93E-05	0.00E+00	0.000209361	32.19163645	0.304752099	269.5776727	3.05E-04
42	2	0.005084543	0.002463189	1.99E-07	8.50E-07	2.36E-05	0.00E+00	0.000179103	43.5592206	0.33940794	309.3333711	1.60E-04
43	2	0.004469747	0.003975964	1.54E-07	9.54E-07	2.83E-05	0.00E+00	0.000259237	42.3239486	0.383137826	326.845056	2.23E-04
44	2	0.003394849	0.002523742	1.84E-07	8.72E-07	1.27E-05	0.00E+00	0.000244245	96.0392803	0.238418703	283.7027873	2.79E-04
45	2	0.003427047	0.003307515	1.99E-07	9.12E-07	2.43E-05	0.00E+00	0.000280744	67.72214996	0.245053426	262.7037051	5.27E-04
46	2	0.00656369	0.002668326	2.20E-07	6.79E-07	1.06E-05	0.00E+00	0.000248815	30.28225008	0.187937365	162.9219127	4.04E-05
47	2	0.00500009	0.002959844	2.40E-07	8.44E-07	2.24E-05	0.00E+00	0.000271888	39.79251738	0.219820081	208.4214935	1.42E-04
48	2	0.006221958	0.003153443	1.68E-07	6.96E-07	2.77E-05	0.00E+00	0.000105735	27.19573754	0.577107226	400.7171072	1.25E-04
49	2	0.004959606	0.002335854	2.48E-07	8.85E-07	2.00E-05	0.00E+00	0.000194218	53.72520378	0.292818608	279.8359576	0.000196537
50	2	0.003238475	0.003363944	1.54E-07	6.29E-07	2.04E-05	0.00E+00	0.000119346	68.24407199	0.399760847	403.1778808	3.48E-04
51	2	0.006272594	0.003635094	2.22E-07	6.60E-07	2.32E-05	0.00E+00	0.000203719	22.31516313	0.259772566	197.9467917	7.75E-05
52	2	6.89E-03	3.30E-03	2.30E-07	7.82E-07	1.86E-05	0.00E+00	0.000265063	24.03879048	0.233062951	179.3997101	6.61E-05
53	2	0.003333879	0.002266342	1.67E-07	7.56E-07	2.66E-05	0.00E+00	0.000260673	56.44267766	0.178685388	232.750548	0.000207769
54	2	0.003241885	0.002798516	2.03E-07	7.67E-07	2.31E-05	0.00E+00	0.000225595	68.65026335	0.217533037	254.2375224	0.002424966
55	2	0.004489639	0.002396237	1.99E-07	7.36E-07	2.90E-05	0.00E+00	0.000284066	33.88617641	0.158022711	179.4872558	0.000109164
56	2	0.003210708	0.003475716	1.77E-07	7.69E-07	2.10E-05	0.00E+00	0.000288547	62.06720487	0.198540649	220.6376652	0.000978368
57	2	0.004670976	0.003966105	1.80E-07	8.80E-07	2.33E-05	0.00E+00	0.000207825	44.82448897	0.39607084	325.4757627	0.000252268
58	2	0.005792422	0.003333056	1.68E-07	6.51E-07	3.00E-05	0.00E+00	0.000134224	23.99154965	0.407374948	307.6532332	1.36E-04
59	2	0.003130403	0.0031224	2.38E-07	8.68E-07	1.38E-05	0.00E+00	0.000173783	124.5970796	0.341792738	364.1918489	6.01E-04
60	2	0.004842904	0.003963276	1.66E-07	9.42E-07	2.29E-05	0.00E+00	0.000175254	49.28579038	0.558812508	433.630672	3.62E-04
61	2	0.003763695	0.002856506	1.98E-07	6.48E-07	2.18E-05	0.00E+00	0.000145238	55.26850582	0.294141143	300.7227305	2.95E-04
62	2	0.004538476	0.003165973	1.75E-07	7.16E-07	2.23E-05	0.00E+00	0.000153056	43.0811429	0.364236106	323.7447207	1.89E-04
63	2	6.30E-03	3.97E-03	2.23E-07	7.38E-07	2.17E-05	0.00E+00	0.000121554	32.56020601	0.542521858	356.3168815	1.91E-04
64	2	0.006625233	0.003759307	2.32E-07	7.04E-07	2.19E-05	0.00E+00	0.000104503	31.11355534	0.589683511	373.318139	1.58E-04
65	2	0.004701037	0.002625438	1.66E-07	6.72E-07	1.85E-05	0.00E+00	0.000118846	46.6860764	0.408930906	365.3909408	1.77E-04
66	2	0.005394095	0.002941849	2.20E-07	8.80E-07	2.28E-05	0.00E+00	0.000106721	53.37880681	0.673404546	500.8596107	0.000313504
67	2	0.003275224	0.002639199	2.03E-07	8.62E-07	1.82E-05	0.00E+00	0.000263996	83.35890016	0.210897831	254.9763045	3.02E-04
68	2	0.005873436	0.003937299	2.03E-07	7.30E-07	1.21E-05	0.00E+00	0.000222192	35.26324088	0.278589671	214.2884326	0.000156364
69	2	0.006115209	0.002846906	1.59E-07	7.07E-07	1.31E-05	0.00E+00	0.000156201	34.48395105	0.368263836	288.1036578	1.35E-04
70	2	0.004760341	0.003054285	1.96E-07	9.50E-07	2.04E-05	0.00E+00	0.000288725	47.34516056	0.262063407	248.7416988	2.07E-04
71	2	0.005550836	0.003915388	1.74E-07	8.70E-07	1.58E-05	0.00E+00	0.000234362	38.99817964	0.355385729	274.9232534	0.000147644
