sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
1770	3	0.006612081	0.003274119	1.64E-07	6.94E-07	2.57E-05	0.42154062	0.000274194	10.91931843	0.079888501	150.2229558	8.70E-05
1771	3	0.006591105	0.003896663	1.80E-07	8.00E-07	1.79E-05	0.575843483	0.00028981	14.59153993	0.090402577	146.0485382	0.000120084
1772	3	0.005934163	0.002700549	1.84E-07	9.16E-07	2.59E-05	0.333696531	0.000170319	23.7233493	0.17499556	347.9165927	0.000390314
1773	3	0.004621832	0.003119076	2.20E-07	9.31E-07	1.93E-05	0.5894701	0.000136201	43.82293141	0.183401676	321.952077	0.000709998
1774	3	0.004010798	0.002932115	1.54E-07	6.53E-07	1.16E-05	0.27202484	0.000256963	33.69600844	0.084444917	173.0601693	0.000391343
1775	3	0.00430398	0.002590949	1.60E-07	9.77E-07	1.41E-05	0.220183692	0.000186231	52.95175741	0.203130417	417.3763693	0.001678244
1776	3	0.00570317	0.002221325	1.93E-07	9.34E-07	1.19E-05	0.360893719	0.000256884	31.56172068	0.097738282	234.0648868	0.000212687
1777	3	0.005582245	0.003221419	1.51E-07	8.34E-07	1.84E-05	0.463703773	0.000107068	31.96864607	0.271887779	451.0261698	0.000455959
1778	3	0.006114684	0.002352994	2.42E-07	7.31E-07	1.56E-05	0.575534469	0.000240405	18.93408715	0.05929544	147.2679967	0.00011316
1779	3	0.006320608	0.002910009	1.91E-07	9.96E-07	1.56E-05	0.373548082	0.00015999	31.92615559	0.211848634	387.4904506	0.000440957
1780	3	0.004759294	0.002958553	1.69E-07	7.99E-07	2.75E-05	0.202571233	0.000137849	29.33694654	0.222483174	409.1030115	0.00154998
1781	3	0.003865212	0.003085684	2.03E-07	9.02E-07	2.29E-05	0.484776887	0.000236496	40.14471814	0.112318911	210.3949146	0.000568898
1782	3	0.004919664	0.00256796	1.62E-07	8.14E-07	2.09E-05	0.476741996	0.000264537	22.9696614	0.084229092	186.7078561	0.000183682
1783	3	0.005832349	0.002367006	1.82E-07	6.65E-07	2.48E-05	0.497836472	0.000213343	14.47258649	0.068169769	168.1518557	9.33E-05
1784	3	0.004151066	0.002188057	2.08E-07	6.34E-07	2.55E-05	0.208384517	0.000242308	23.67163593	0.06739215	174.865128	0.00047102
1785	3	0.003838961	0.003354775	1.95E-07	7.97E-07	1.71E-05	0.382747793	0.00022238	42.66765856	0.11808807	208.7097328	0.000582911
1786	3	0.004179517	0.00367548	1.85E-07	9.88E-07	1.80E-05	0.404142782	0.00020488	48.3278166	0.191124945	296.3546502	0.00068632
1787	3	0.005290385	0.003786818	1.87E-07	9.87E-07	1.71E-05	0.426023869	0.000136789	42.03518253	0.287798165	414.0165306	0.000832628
1788	3	0.005773463	0.003039236	2.21E-07	9.62E-07	2.75E-05	0.568182232	0.000153523	26.1309961	0.172628612	309.8985191	0.000458089
1789	3	0.003757463	0.00247666	2.04E-07	6.53E-07	1.45E-05	0.326955953	0.000151306	46.29582085	0.106991715	245.9523534	0.000511693
1790	3	0.003531936	0.002328	1.77E-07	7.38E-07	1.41E-05	0.549392303	0.000114304	60.99064661	0.138748777	323.2430913	0.000593701
1791	3	0.0036075	0.003588571	2.45E-07	7.41E-07	1.12E-05	0.51086199	0.000284277	48.59570046	0.073206855	130.1699017	0.000442429
1792	3	0.003996746	0.003063406	1.57E-07	9.41E-07	2.50E-05	0.530482384	0.000135283	46.35426356	0.22914276	405.0444951	0.000905775
1793	3	0.003134773	0.002035887	2.21E-07	9.70E-07	2.11E-05	0.34272225	0.000265769	64.27064339	0.092022113	235.8536853	0.000988799
1794	3	0.004227116	0.003347667	1.56E-07	7.31E-07	2.77E-05	0.400866252	0.000182217	26.68851146	0.136584812	240.625204	0.000333349
1795	3	0.004428976	0.003977689	1.96E-07	9.79E-07	1.20E-05	0.357731915	0.000163913	60.96321899	0.251389954	355.7832145	0.001293765
1796	3	0.006354262	0.002320514	1.73E-07	6.66E-07	2.14E-05	0.468250411	0.000130571	17.36742541	0.115097471	273.7877323	0.000126288
1797	3	0.006586524	0.003349697	2.16E-07	7.66E-07	2.31E-05	0.43421174	0.000179607	17.31138237	0.127288467	222.1276963	0.000202296
1798	3	0.006247034	0.003363721	2.47E-07	7.16E-07	1.03E-05	0.542887785	0.000182025	25.93531619	0.099566144	179.1827408	0.000196453
1799	3	0.006931298	0.003632345	1.69E-07	6.16E-07	2.21E-05	0.219289893	0.000246108	10.26383397	0.095893921	164.6178243	0.000173651
1800	3	0.006168896	0.002790564	1.56E-07	8.48E-07	1.33E-05	0.307977586	0.000165865	27.60143666	0.179712298	351.6528579	0.000323558
1801	3	0.005164343	0.003707452	1.93E-07	8.31E-07	1.27E-05	0.468481689	0.000216308	32.48472237	0.127536358	206.1731551	0.00033598
1802	3	0.006347756	0.00326881	1.71E-07	9.63E-07	1.81E-05	0.430020285	0.000277727	20.84044184	0.126829817	221.6816342	0.000209651
1803	3	0.003066838	0.003080809	2.35E-07	6.89E-07	2.27E-05	0.333492145	0.000242496	45.71201846	0.083798005	164.8715089	0.000781151
1804	3	0.003203138	0.002918683	2.37E-07	9.10E-07	1.68E-05	0.449917688	0.00024964	65.29408242	0.10040269	197.9405314	0.000513902
1805	3	0.00591238	0.003340233	1.99E-07	8.30E-07	2.60E-05	0.310406466	0.000189925	20.46559189	0.156322915	267.0930443	0.000337299
1806	3	0.005903361	0.002794167	1.89E-07	8.42E-07	1.04E-05	0.385599639	0.000238165	28.99212735	0.105060675	213.7495556	0.000205065
1807	3	0.006076391	0.002669898	1.66E-07	8.34E-07	1.49E-05	0.363927816	0.000119679	30.90147537	0.218931644	431.4002244	0.000370265
1808	3	0.006292766	0.002327981	1.71E-07	6.39E-07	2.54E-05	0.376556984	0.000296944	10.57045148	0.053077963	133.6488921	5.96E-05
1809	3	0.003522511	0.002490001	2.37E-07	6.26E-07	1.12E-05	0.378785526	0.000152004	58.19265284	0.093624051	217.3571822	0.00046449
1810	3	0.00570063	0.00252297	2.20E-07	8.22E-07	1.09E-05	0.434671	0.000133319	39.70035386	0.151378217	321.3942504	0.000288885
1811	3	0.005037556	0.003998734	2.48E-07	9.06E-07	1.47E-05	0.466673854	0.000247381	35.22327948	0.123161004	186.3030324	0.000464277
1812	3	0.005488931	0.003710906	2.05E-07	9.62E-07	1.04E-05	0.31244945	0.000217173	41.13055306	0.178123491	274.7550674	0.000619686
1813	3	0.005975548	0.002431841	1.55E-07	7.13E-07	1.27E-05	0.289186073	0.000191373	22.29110744	0.108946483	250.8603589	0.0001658
1814	3	0.005213082	0.002142302	1.60E-07	7.30E-07	2.26E-05	0.378418981	0.000250345	18.6497927	0.072838261	188.4596737	0.000132463
1815	3	0.003925733	0.003135478	1.71E-07	7.09E-07	1.35E-05	0.232745218	0.000255122	36.97596693	0.100335286	190.7437645	0.000709135
1816	3	0.005194906	0.003464113	2.15E-07	8.61E-07	2.38E-05	0.343139354	0.000122158	34.4188898	0.250801796	391.0085903	0.000870851
1817	3	0.005403777	0.002695823	2.31E-07	6.47E-07	1.83E-05	0.550689118	0.000258956	17.70638837	0.053916463	124.1309743	0.000115328
1818	3	0.004412849	0.003630138	1.62E-07	7.39E-07	1.92E-05	0.354445085	0.000191074	30.34553273	0.143753469	236.0298746	0.0004443
1819	3	0.00324897	0.002841473	2.49E-07	9.23E-07	2.10E-05	0.382250019	0.000261348	59.33664187	0.101156427	202.1020502	0.000482301
1820	3	0.00534882	0.003997572	2.23E-07	7.87E-07	2.23E-05	0.558700016	0.000125817	28.48102594	0.195081527	279.7421851	0.000535613
1821	3	0.003666129	0.002444819	2.13E-07	7.98E-07	1.92E-05	0.235232408	0.000120728	59.57796103	0.193629649	418.0960998	0.002590789
1822	3	0.006629835	0.00279714	1.52E-07	7.87E-07	2.72E-05	0.402182373	0.000272714	12.20739013	0.091746188	188.7312622	0.000103581
1823	3	0.004951533	0.002473636	2.47E-07	6.58E-07	1.24E-05	0.55185831	0.000161872	32.2664092	0.079156355	186.3868576	0.000220822
1824	3	0.004119844	0.003202608	1.77E-07	9.65E-07	2.21E-05	0.568031172	0.000132446	49.50875189	0.2293067	388.3481263	0.001011857
1825	3	0.00342758	0.002287082	2.14E-07	7.06E-07	1.02E-05	0.323289373	0.000270522	54.2560085	0.063123455	158.3636744	0.000450278
1826	3	0.006634111	0.0029167	1.83E-07	9.97E-07	2.63E-05	0.550353495	0.000159012	21.43309403	0.190168837	350.6169589	0.000314698
1827	3	0.004267648	0.003919565	2.43E-07	7.98E-07	1.98E-05	0.357945931	0.000298441	31.74177456	0.095637377	151.7770506	0.000536423
1828	3	0.006789092	0.002182803	1.88E-07	8.92E-07	2.49E-05	0.344783563	0.000134681	21.48815721	0.180736105	420.8576601	0.000283215
1829	3	0.005645434	0.003255534	2.22E-07	8.69E-07	1.09E-05	0.394949259	0.000159953	39.90219441	0.169287769	291.1330975	0.000462085
1830	3	0.004375708	0.002151121	1.84E-07	6.49E-07	1.29E-05	0.503451144	0.000175286	33.24136397	0.072277671	192.4832259	0.000160943
1831	3	0.00645814	0.003713239	1.63E-07	9.45E-07	2.19E-05	0.567193414	0.000218052	18.90748034	0.157441352	246.9166948	0.000248013
1832	3	0.003223761	0.003409353	2.00E-07	7.46E-07	3.00E-05	0.405328675	0.000290999	34.50156145	0.083188223	150.246806	0.000478441
1833	3	0.005681126	0.002003781	1.99E-07	8.13E-07	1.61E-05	0.226484529	0.000271968	22.83441701	0.079349724	209.4014292	0.000286585
1834	3	0.005137674	0.002012618	2.16E-07	8.16E-07	1.89E-05	0.26422673	0.000256825	26.03905461	0.078894642	208.6322506	0.000309671
1835	3	0.003618289	0.003624684	2.48E-07	7.14E-07	2.31E-05	0.528013686	0.000261348	33.48512179	0.075393419	133.0470387	0.000473413
1836	3	0.004220555	0.002148416	2.12E-07	6.54E-07	2.62E-05	0.560170474	0.000295577	19.70418365	0.041249578	114.3119723	0.000130649
1837	3	0.00373103	0.003844057	1.64E-07	6.17E-07	2.35E-05	0.287707184	0.00012554	35.08246424	0.190665218	292.4293359	0.001047336
1838	3	0.005635416	0.002645175	2.00E-07	8.14E-07	1.92E-05	0.428866615	0.000203736	23.81810864	0.104748927	223.506187	0.000222337
1839	3	0.004536959	0.003712156	1.86E-07	9.43E-07	1.84E-05	0.489327288	0.00014608	45.65110131	0.23312342	350.5947591	0.000862241
1840	3	0.003374248	0.002306459	2.41E-07	8.29E-07	2.36E-05	0.340828832	0.000115649	67.67749123	0.178981254	402.5012333	0.001721775
1841	3	0.004413296	0.002230128	1.99E-07	7.73E-07	1.46E-05	0.302852418	0.000139879	45.30524193	0.140944071	337.6667934	0.000661661
1842	3	0.003375879	0.002539182	1.70E-07	7.67E-07	1.04E-05	0.306169719	0.000138391	76.99835516	0.164538991	356.4841306	0.0013178
1843	3	0.005386448	0.00223298	1.65E-07	7.68E-07	1.09E-05	0.580452168	0.000195542	28.52306377	0.083960047	211.020175	0.000147348
1844	3	0.006566222	0.003822335	1.72E-07	8.50E-07	1.03E-05	0.203387953	0.000256787	23.7171439	0.154422331	237.6221242	0.000473559
1845	3	0.006044548	0.002662427	1.60E-07	9.64E-07	2.54E-05	0.58387336	0.000124861	25.77965233	0.224708827	439.5333082	0.00038439
1846	3	0.004359592	0.003216597	2.08E-07	9.94E-07	2.97E-05	0.350488708	0.000191878	38.21126089	0.186562613	319.9844408	0.000682124
1847	3	0.00312718	0.003438235	1.75E-07	7.63E-07	2.65E-05	0.430460726	0.000213386	43.31328144	0.119650565	208.5658282	0.000763995
1848	3	0.004216677	0.002579054	1.77E-07	8.84E-07	1.48E-05	0.330411563	0.000211997	45.18608643	0.128952723	275.3001222	0.000585576
1849	3	0.004112679	0.002530775	2.00E-07	8.27E-07	1.25E-05	0.525268716	0.000109774	63.05483664	0.177154249	370.4678531	0.000711934
1850	3	0.003805783	0.003437812	2.18E-07	6.66E-07	2.69E-05	0.483613971	0.000195199	29.75887969	0.094883604	170.6033882	0.000436445
1851	3	0.004188368	0.002453793	2.40E-07	8.48E-07	1.46E-05	0.253726376	0.00022	47.12798786	0.10796691	242.1076018	0.000915005
1852	3	0.003214759	0.002411975	1.73E-07	8.56E-07	1.44E-05	0.464450518	0.000233812	61.17956628	0.095514196	220.9221725	0.000548392
1853	3	0.004213508	0.003133674	2.15E-07	8.66E-07	2.01E-05	0.505338125	0.000106286	53.19556643	0.231891893	393.646199	0.001013387
1854	3	0.006147365	0.003647855	1.88E-07	7.41E-07	1.66E-05	0.353557779	0.00024049	18.47354338	0.107976513	180.4339367	0.000191907
1855	3	0.003124542	0.002913284	1.78E-07	7.35E-07	1.10E-05	0.352374652	0.000207997	66.54634553	0.107208867	216.2412667	0.00077727
1856	3	0.006993759	0.00305924	2.39E-07	9.26E-07	1.65E-05	0.311124713	0.000153233	26.58725485	0.199462422	349.9578247	0.000453246
1857	3	0.006017769	0.00395785	2.14E-07	9.41E-07	2.71E-05	0.301235797	0.000211772	22.08058837	0.188393676	273.7512236	0.000499151
1858	3	0.004506524	0.003090086	1.54E-07	7.34E-07	2.61E-05	0.303520098	0.000198713	24.37848673	0.131019654	246.2929346	0.000452051
1859	3	0.004138716	0.003633847	2.09E-07	7.58E-07	1.22E-05	0.202120109	0.000299297	38.46310441	0.100294168	168.1556411	0.000685243
1860	3	0.00400609	0.003340707	2.12E-07	7.69E-07	2.26E-05	0.378383321	0.000107869	48.1496932	0.228504369	372.8638716	0.001148449
1861	3	0.004312775	0.003594999	2.36E-07	9.69E-07	1.59E-05	0.238105642	0.000280518	45.17595595	0.139485966	224.2381628	0.001273393
1862	3	0.004579953	0.003356005	1.65E-07	6.26E-07	1.21E-05	0.358355641	0.000119292	37.12884229	0.167800268	289.5991984	0.000426681
1863	3	0.006940682	0.003137907	1.78E-07	8.67E-07	2.24E-05	0.282960941	0.000283093	14.68850251	0.115474989	210.4778596	0.000201858
1864	3	0.003203957	0.003406118	1.66E-07	8.68E-07	1.14E-05	0.536646812	0.00010595	98.60394731	0.268402082	429.4373536	0.001698304
1865	3	0.006015702	0.00219557	1.71E-07	6.35E-07	2.73E-05	0.300626027	0.000104918	17.95113935	0.151933428	366.0544025	0.000216412
1866	3	0.005462493	0.002936772	2.24E-07	6.78E-07	2.10E-05	0.588549354	0.000191824	19.19432695	0.078705483	162.802936	0.000176314
1867	3	0.004296808	0.002405217	2.07E-07	7.93E-07	1.58E-05	0.401103354	0.00018103	41.31190257	0.106791622	246.2141112	0.000380473
1868	3	0.006158711	0.002186536	1.70E-07	6.10E-07	2.36E-05	0.259787949	0.00024707	11.79864568	0.06297225	164.8369324	0.000112695
1869	3	0.004239611	0.002663641	1.69E-07	8.75E-07	2.13E-05	0.573420156	0.000208841	33.66702907	0.109742013	232.6663362	0.000377855
1870	3	0.003125669	0.003324611	2.28E-07	8.59E-07	2.97E-05	0.5002987	0.000291005	42.86228803	0.086439878	156.8897418	0.000737694
1871	3	0.003387183	0.002938137	1.60E-07	7.49E-07	1.14E-05	0.439964107	0.000282348	48.74785659	0.078742085	160.5167341	0.000378078
1872	3	0.006925213	0.00382552	2.00E-07	6.19E-07	2.39E-05	0.41294414	0.000114807	15.05244496	0.175973929	266.7840015	0.000202339
1873	3	0.005525229	0.003693353	2.12E-07	6.30E-07	1.60E-05	0.493382677	0.000276646	17.16791117	0.065003009	116.4461913	0.000101186
