sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
1	3	0.004630209	0.002439674	1.73E-07	7.75E-07	2.84E-05	3.14E-01	0.000163808	27.03253863	0.136621752	306.0353532	3.32E-04
2	3	0.004455116	0.002998635	2.31E-07	6.94E-07	1.04E-05	3.19E-01	0.000160224	45.94248263	0.123543766	238.680393	5.58E-04
3	3	0.006303712	0.002272791	2.31E-07	9.44E-07	2.11E-05	4.03E-01	0.000103706	33.46858645	0.233642902	500.2335095	4.86E-04
4	3	0.005854581	0.003395496	2.39E-07	8.80E-07	2.87E-05	5.28E-01	0.000102179	28.78311488	0.255341295	394.9514915	0.000630556
5	3	0.003137071	0.003032321	2.15E-07	9.02E-07	1.56E-05	5.56E-01	0.00022061	67.6543164	0.109163543	208.9547859	8.88E-04
6	3	0.005572936	0.003572127	1.99E-07	7.61E-07	2.75E-05	5.31E-01	0.000241637	16.48172177	0.092875294	160.6072659	0.000190006
7	3	0.003042682	0.002191114	2.04E-07	9.42E-07	1.53E-05	4.55E-01	0.000255109	73.23667483	0.088521017	218.0163436	7.35E-04
8	3	0.005900239	0.003789295	2.27E-07	6.83E-07	1.09E-05	4.87E-01	0.000130713	30.50813094	0.154603245	239.8754193	2.84E-04
9	3	0.003514574	0.002441578	1.95E-07	7.86E-07	1.18E-05	2.31E-01	0.000201346	61.41524643	0.115242474	262.4757913	1.33E-03
10	3	0.003666099	0.00349542	1.83E-07	7.22E-07	2.64E-05	5.88E-01	0.00029641	25.50423227	0.069908402	127.7661523	3.21E-04
11	3	0.005306489	0.002466966	1.79E-07	8.70E-07	2.15E-05	5.83E-01	0.00013994	29.09842491	0.149004745	324.6322375	2.84E-04
12	3	0.00434462	0.002299328	1.83E-07	6.45E-07	2.54E-05	4.35E-01	0.000258513	20.23331708	0.056103608	143.5069395	1.05E-04
13	3	0.003316766	0.002385804	2.28E-07	7.41E-07	2.68E-05	4.79E-01	0.000126777	52.02729224	0.126924772	290.0446268	7.89E-04
14	3	0.003761379	0.002793614	1.84E-07	9.69E-07	2.68E-05	5.46E-01	0.000225905	40.88946458	0.121801561	243.8210621	0.000619165
15	3	0.003865158	0.002129798	2.18E-07	8.14E-07	2.03E-05	5.41E-01	0.000151144	46.41606816	0.105637989	267.4379304	4.71E-04
16	3	6.29E-03	2.03E-03	1.97E-07	9.78E-07	1.92E-05	4.14E-01	0.000269994	22.04577459	0.090271612	229.9273409	0.000157523
17	3	0.004736405	0.002048867	2.00E-07	9.51E-07	2.82E-05	2.53E-01	0.000157041	35.77444021	0.171285315	423.280496	1.01E-03
18	3	0.00300053	0.002635921	2.03E-07	9.32E-07	2.35E-05	5.02E-01	0.000282603	55.4346494	0.08856696	189.3459757	7.63E-04
19	3	0.00367405	0.003928032	1.85E-07	8.39E-07	2.46E-05	3.33E-01	0.000274163	36.62428547	0.127268233	195.7638269	6.46E-04
20	3	0.004852171	0.002333773	1.97E-07	7.83E-07	1.26E-05	5.59E-01	0.000227986	31.38147655	0.072813731	177.9862152	1.89E-04
21	3	0.004709712	0.002351692	1.79E-07	6.23E-07	1.12E-05	4.20E-01	0.000105332	39.76361463	0.133576109	310.5688433	2.93E-04
22	3	0.005252203	0.002609191	2.25E-07	8.68E-07	2.88E-05	4.07E-01	0.000197031	24.78166188	0.115848091	245.3576065	3.12E-04
23	3	0.006156813	0.003142336	2.27E-07	9.68E-07	1.42E-05	3.86E-01	0.000221623	29.99597342	0.140776675	251.372977	3.46E-04
24	3	0.0054668	0.002406184	2.18E-07	6.07E-07	1.45E-05	5.07E-01	0.000282893	17.41981345	0.04427379	113.3478205	7.88E-05
25	3	0.005133251	0.00213676	1.70E-07	6.05E-07	2.93E-05	3.78E-01	0.00026644	13.23390132	0.05128225	139.5614195	8.63E-05
26	3	0.006961982	0.003588569	1.99E-07	6.52E-07	1.42E-05	3.30E-01	0.000266222	13.80705962	0.081819368	143.7680128	0.00011353
27	3	0.005955071	0.002319746	2.23E-07	6.21E-07	2.43E-05	5.94E-01	0.000124347	17.51353735	0.091861923	223.1544043	1.49E-04
28	3	0.005372393	0.002539086	1.93E-07	9.72E-07	2.02E-05	4.64E-01	0.00011282	40.58592801	0.243752295	484.9237349	6.08E-04
29	3	0.004796688	0.002294337	2.28E-07	8.13E-07	1.18E-05	5.47E-01	0.000280092	32.89828444	0.059652762	148.3915445	1.84E-04
30	3	0.003225199	0.003280113	2.39E-07	7.39E-07	2.33E-05	3.79E-01	0.000190892	50.11991923	0.11545996	208.8676309	1.01E-03
31	3	0.003068124	0.003722835	2.44E-07	7.92E-07	2.14E-05	3.62E-01	0.000298559	50.59555544	0.090837182	151.1615824	8.76E-04
32	3	0.003879365	0.003732993	2.19E-07	6.69E-07	1.02E-05	2.83E-01	0.000133815	58.87962185	0.176197278	276.8514105	1.38E-03
33	3	0.006606489	0.00341828	1.63E-07	7.70E-07	2.32E-05	4.39E-01	0.000164477	16.61501073	0.158608182	268.0525335	0.000169643
34	3	0.003842589	0.002379236	1.71E-07	8.85E-07	1.51E-05	3.93E-01	0.000154003	59.01663636	0.160836384	361.2906762	7.50E-04
35	3	0.003882695	0.002709328	2.14E-07	9.00E-07	1.98E-05	3.28E-01	0.000223478	46.5666336	0.121377911	249.1736752	8.04E-04
36	3	4.21E-03	2.28E-03	2.34E-07	7.15E-07	2.82E-05	4.46E-01	0.000122642	35.26358045	0.124226697	292.8045108	4.82E-04
37	3	0.004135616	0.003016264	2.04E-07	6.21E-07	1.87E-05	5.67E-01	0.000143746	31.51999639	0.09893346	196.877919	0.000333428
38	3	0.005765812	0.002231851	1.86E-07	7.22E-07	1.60E-05	5.18E-01	0.000212289	20.20734366	0.071419217	181.9826083	1.08E-04
39	3	0.004879795	0.003582341	1.92E-07	8.96E-07	1.72E-05	5.00E-01	0.000289964	28.62137961	0.103171422	173.0950262	0.00031235
40	3	0.00307831	0.003510334	2.41E-07	7.39E-07	1.14E-05	2.38E-01	0.000271018	67.48602793	0.096885226	168.7171655	0.001622228
41	3	0.005198272	0.00383105	2.02E-07	6.21E-07	1.88E-05	3.05E-01	0.000238238	18.8743048	0.091945206	152.7086128	2.70E-04
42	3	0.00658363	0.002919425	1.73E-07	6.78E-07	2.70E-05	4.65E-01	0.000248322	10.96796064	0.073569506	152.9556483	7.58E-05
43	3	0.003428354	0.003672346	1.95E-07	8.60E-07	2.81E-05	4.42E-01	0.000122141	56.69833778	0.249719517	375.8616975	1.64E-03
44	3	0.00306553	0.002182421	2.41E-07	8.19E-07	2.29E-05	4.48E-01	0.000147175	68.3083095	0.117850723	289.959999	9.77E-04
45	3	0.003315929	0.003291502	1.68E-07	8.48E-07	2.94E-05	3.33E-01	0.000233839	41.65871229	0.138243092	243.2706035	9.41E-04
46	3	0.004831548	0.002049899	2.02E-07	9.96E-07	2.45E-05	4.36E-01	0.000179389	36.29785341	0.133653395	334.3176603	3.01E-04
47	3	0.00529272	0.003015349	1.65E-07	7.16E-07	2.00E-05	3.63E-01	0.000128374	26.29583174	0.177302497	328.2248108	3.52E-04
48	3	0.005372413	0.00361876	1.97E-07	8.70E-07	2.51E-05	4.48E-01	0.00013642	29.1495845	0.221468105	340.0957746	5.46E-04
49	3	0.006079708	0.002842173	1.94E-07	7.96E-07	1.43E-05	4.01E-01	0.000266582	20.95039981	0.085265176	174.7574195	0.000153043
50	3	0.003410927	0.00272872	2.32E-07	6.49E-07	2.30E-05	4.84E-01	0.000247325	33.84910616	0.060031836	135.3332708	3.43E-04
51	3	0.00342134	0.003917209	1.92E-07	8.24E-07	1.20E-05	2.61E-01	0.000196624	67.64284972	0.177057844	267.2596542	1.55E-03
52	3	4.23E-03	2.26E-03	1.84E-07	8.65E-07	2.03E-05	4.31E-01	0.000259333	33.58419764	0.084140178	203.5510583	2.51E-04
53	3	0.003267496	0.002496965	2.41E-07	9.56E-07	2.98E-05	5.95E-01	0.000164731	57.39515531	0.1278446	277.5890892	0.001165561
54	3	0.005455459	0.003304163	2.10E-07	9.19E-07	2.22E-05	2.70E-01	0.000175448	29.9380318	0.198249783	331.7313643	0.000840671
55	3	0.003239657	0.002304705	1.88E-07	6.05E-07	2.93E-05	5.82E-01	0.000163637	32.02342139	0.070063041	179.3985427	0.000327091
56	3	0.003115839	0.002794358	1.78E-07	7.45E-07	2.56E-05	2.23E-01	0.000189133	47.23942091	0.134129165	272.8083567	0.002022849
57	3	0.003191977	0.00306163	2.27E-07	8.46E-07	2.86E-05	5.02E-01	0.000256315	43.92628947	0.089399589	172.8675759	0.000707259
58	3	0.004304869	0.003043963	2.15E-07	8.04E-07	2.32E-05	5.93E-01	0.000146262	35.72875117	0.136369521	254.9326357	5.75E-04
59	3	0.003343678	0.002825357	2.49E-07	7.94E-07	2.22E-05	5.07E-01	0.000102244	69.06388333	0.188733836	355.7333626	1.41E-03
60	3	0.005966238	0.002434693	1.90E-07	7.05E-07	1.16E-05	3.94E-01	0.000144024	27.77948149	0.118813043	270.3410026	1.87E-04
61	3	0.005061185	0.003678018	1.91E-07	7.61E-07	2.91E-05	2.54E-01	0.00016702	23.26605687	0.180958502	284.4281108	7.63E-04
62	3	0.005781746	0.003845547	1.99E-07	8.02E-07	1.01E-05	5.12E-01	0.000137694	36.35382641	0.189200905	283.2515371	3.79E-04
63	3	5.44E-03	3.58E-03	2.34E-07	8.75E-07	1.16E-05	2.54E-01	0.000261228	33.50945632	0.126188963	206.848657	2.73E-04
64	3	0.005279657	0.003149383	1.52E-07	9.74E-07	2.23E-05	3.69E-01	0.000233715	27.10162803	0.167547176	296.5025744	3.94E-04
65	3	0.005811069	0.002941393	1.91E-07	9.95E-07	1.97E-05	5.43E-01	0.000123453	34.65542367	0.242370806	430.6055698	5.45E-04
66	3	0.004367903	0.002632758	1.88E-07	9.48E-07	2.06E-05	2.99E-01	0.000105031	56.13133288	0.306453062	585.6026807	0.001718967
67	3	0.005894722	0.002864762	1.76E-07	6.76E-07	1.43E-05	2.13E-01	0.000198979	20.41555891	0.111152779	225.5725783	3.51E-04
68	3	0.004490497	0.002713353	1.77E-07	7.06E-07	2.49E-05	5.21E-01	0.000126337	29.21204129	0.136753009	282.5409013	0.000355588
69	3	0.004217612	0.002685692	2.16E-07	6.16E-07	2.54E-05	5.71E-01	0.000238017	20.75390805	0.053713848	125.380256	1.80E-04
70	3	0.003248074	0.003374933	2.23E-07	9.39E-07	2.11E-05	2.20E-01	0.000268479	59.29326722	0.140397223	238.2620303	2.63E-03
71	3	0.006035218	0.003352	2.37E-07	7.32E-07	2.04E-05	2.72E-01	0.000190789	20.49676341	0.12737599	222.3153525	0.000371242
72	3	0.006389598	0.002092852	2.02E-07	6.93E-07	2.81E-05	2.39E-01	0.000208251	13.61675572	0.082876937	217.0455613	1.98E-04
73	3	0.006428335	0.002085476	1.64E-07	6.87E-07	2.55E-05	2.10E-01	0.000171521	14.32411473	0.109278939	283.721641	2.62E-04
74	3	0.006335118	0.002726396	2.29E-07	9.52E-07	2.35E-05	5.60E-01	0.000209049	21.15601541	0.113418058	231.1604301	2.49E-04
75	3	0.003397974	0.002181879	1.53E-07	7.30E-07	1.33E-05	3.66E-01	0.000299616	42.90105169	0.063710855	163.2356758	2.90E-04
76	3	6.02E-03	3.39E-03	2.27E-07	9.65E-07	1.62E-05	2.29E-01	0.000140943	36.20363336	0.274994112	432.7480987	1.44E-03
77	3	0.005348803	0.003084973	2.14E-07	8.39E-07	1.90E-05	5.06E-01	0.00013251	32.89677687	0.173992491	310.6641178	4.51E-04
78	3	0.006933201	0.002286293	2.33E-07	9.52E-07	1.14E-05	4.96E-01	0.000195573	28.39691855	0.110656576	258.0590253	1.81E-04
79	3	0.005934948	0.003632491	2.03E-07	8.24E-07	1.69E-05	2.08E-01	0.000210151	23.96549269	0.161282581	257.6962524	7.60E-04
80	3	0.005947085	0.003667943	2.34E-07	6.13E-07	2.82E-05	5.40E-01	0.000118985	17.19859479	0.14084903	226.3442107	2.48E-04
81	3	0.005088799	0.002032733	1.63E-07	8.37E-07	2.44E-05	2.70E-01	0.000107405	33.42970677	0.225226807	551.4174353	7.60E-04
82	3	0.003929747	0.003430026	2.27E-07	8.36E-07	2.75E-05	5.94E-01	0.000190798	35.26914678	0.11799288	204.1083548	6.41E-04
83	3	0.004039846	0.003381338	2.10E-07	7.12E-07	1.56E-05	5.25E-01	0.000236754	33.97023109	0.081152119	150.00418	3.40E-04
84	3	0.003304965	0.002738745	2.31E-07	9.83E-07	2.99E-05	3.73E-01	0.000185114	59.9202153	0.158847232	314.3399937	1.43E-03
85	3	0.004353782	0.002909336	2.27E-07	9.02E-07	2.98E-05	3.50E-01	0.000140615	40.32039701	0.198998561	366.187696	1.07E-03
86	3	0.005834681	0.002326996	1.82E-07	9.24E-07	1.44E-05	3.85E-01	0.000165678	33.15784422	0.154512527	349.239701	3.20E-04
87	3	0.004409321	0.002147079	2.01E-07	7.10E-07	2.14E-05	4.45E-01	0.000105502	38.12948387	0.142566054	348.3935818	4.19E-04
88	3	0.004694448	0.003290591	1.81E-07	7.16E-07	1.86E-05	2.49E-01	0.000210055	26.81091372	0.122410002	220.2471011	5.15E-04
89	3	0.0035217	0.002457576	1.61E-07	6.37E-07	1.38E-05	4.17E-01	0.000236699	37.59750692	0.065863047	159.40556	2.52E-04
90	3	0.005085628	0.003883633	2.14E-07	8.87E-07	1.85E-05	5.74E-01	0.000149672	34.98195566	0.187967845	277.9691011	6.30E-04
91	3	0.006208514	0.003523268	1.56E-07	9.63E-07	2.31E-05	4.18E-01	0.00028959	18.40171767	0.136702785	223.8953469	2.23E-04
92	3	0.004221275	0.002177032	1.92E-07	7.47E-07	2.71E-05	2.22E-01	0.000296785	24.15206118	0.070535836	177.4958815	4.17E-04
93	3	4.43E-03	4.00E-03	1.92E-07	7.52E-07	1.21E-05	2.59E-01	0.000217922	38.57713198	0.142333573	216.1411467	6.25E-04
94	3	0.004506303	0.003872705	2.20E-07	6.97E-07	2.48E-05	3.48E-01	0.000165328	28.42977334	0.147162788	227.44755	6.20E-04
95	3	0.004971176	0.002401237	1.79E-07	7.17E-07	1.86E-05	5.73E-01	0.000195623	23.25480004	0.077800073	187.4013304	1.68E-04
96	3	0.006344919	0.002579951	2.46E-07	8.89E-07	2.73E-05	2.21E-01	0.00020465	20.05133276	0.13312549	278.5789731	5.48E-04
97	3	0.006840061	0.003344416	1.57E-07	9.92E-07	1.59E-05	2.69E-01	0.000289982	20.2702448	0.157856439	264.4263389	2.99E-04
98	3	0.003003618	0.003756911	2.35E-07	7.35E-07	1.20E-05	3.60E-01	0.000225624	71.62933137	0.109701798	180.3212035	1.18E-03
99	3	0.00671221	0.003761211	2.12E-07	9.58E-07	1.42E-05	2.02E-01	0.00015166	30.6627571	0.287356545	416.060544	1.34E-03
100	3	0.003361811	0.00319164	1.80E-07	9.10E-07	2.28E-05	3.13E-01	0.000135909	66.13546333	0.255331204	434.3020618	2.39E-03
101	3	0.003543419	0.003126991	1.64E-07	9.42E-07	1.06E-05	0.293120196	0.000270065	66.94178486	0.140089197	253.8196602	0.001073274
102	3	0.006019746	0.002112781	2.21E-07	6.74E-07	2.99E-05	0.415260405	0.00020334	14.37008331	0.0684541	182.3018173	1.12E-04
103	3	0.004086056	0.002756514	2.01E-07	8.06E-07	1.94E-05	0.286050432	0.000130833	48.23776324	0.191853372	376.4216142	1.28E-03
104	3	0.005580691	0.003212278	1.68E-07	9.47E-07	2.06E-05	0.314193927	0.000294908	23.12346659	0.129776045	228.7058812	0.000314455
105	3	0.006796324	0.003215211	2.28E-07	6.25E-07	2.18E-05	0.403915198	0.000279952	11.20552317	0.061732044	122.2453054	8.08E-05
106	3	0.005131339	0.003597151	2.16E-07	7.85E-07	2.11E-05	0.405728671	0.000248607	23.4786281	0.102159096	172.8119662	0.000285961
107	3	0.003483129	0.002536173	2.42E-07	8.36E-07	2.08E-05	0.302251583	0.000287453	46.08044446	0.081157547	180.1124787	0.000763476
108	3	0.0066476	0.003114232	2.24E-07	8.74E-07	1.28E-05	0.369815907	0.000294698	21.69010615	0.093426968	174.6094348	0.00018181
109	3	0.003304847	0.002215852	2.47E-07	8.28E-07	1.97E-05	0.28728175	0.000228998	56.64437755	0.090406777	222.6261155	1.01E-03
110	3	0.005779612	0.002491514	2.13E-07	9.84E-07	2.45E-05	0.504856359	0.000293932	21.19265682	0.086704677	190.7778275	0.000200749
111	3	0.005100383	0.00289358	2.14E-07	7.23E-07	1.89E-05	0.52891087	0.000233054	22.33841004	0.075233093	156.9150607	1.57E-04
112	3	0.004276085	0.00331409	2.01E-07	6.63E-07	1.61E-05	0.548248727	0.00012102	38.08397854	0.141843055	249.2366848	0.00041853
113	3	0.005715803	0.00365375	2.45E-07	8.52E-07	2.03E-05	0.594972388	0.000211199	23.22652868	0.112535514	185.3713877	3.27E-04
114	3	0.005507606	0.003704034	1.99E-07	6.08E-07	1.49E-05	0.240626806	0.000210015	20.00522666	0.103712951	174.7000066	0.000319457
115	3	0.004897248	0.002349062	1.83E-07	6.44E-07	1.86E-05	0.507046635	0.000243798	19.64500462	0.056377496	142.8286053	0.000112599
116	3	0.006708741	0.003513908	1.83E-07	9.52E-07	2.05E-05	0.267286728	0.000153468	24.42013204	0.269868142	416.3675671	0.000671542
117	3	0.003180045	0.00234155	2.43E-07	6.43E-07	2.67E-05	0.542350446	0.000130363	46.54100729	0.094598615	228.2514719	0.000626781
118	3	0.00539427	0.002395537	2.30E-07	9.15E-07	1.19E-05	0.441124839	0.00013429	47.20895626	0.165771127	360.1985603	0.00047091
119	3	0.004300394	0.00253457	2.29E-07	8.47E-07	2.37E-05	0.572808238	0.000239487	30.56529625	0.07705092	174.4208392	0.000297808
120	3	0.003480752	0.003213772	1.99E-07	8.12E-07	1.44E-05	0.303261561	0.000249636	53.35957206	0.111839281	204.6978047	0.00069208
121	3	0.003796456	0.003743047	1.53E-07	6.15E-07	1.88E-05	0.59175457	0.000113138	35.6575976	0.160202401	255.2141652	0.000466672
122	3	0.0055156	0.003312656	1.83E-07	7.90E-07	1.03E-05	0.543397893	0.000140006	36.13755412	0.162982683	280.8279076	0.000322628
123	3	0.00327016	0.002621497	2.33E-07	8.45E-07	2.83E-05	0.298125214	0.000276822	44.34163034	0.089130902	191.6151833	8.90E-04
124	3	0.006832808	0.002904593	2.39E-07	7.86E-07	2.17E-05	0.491374156	0.000102336	23.31882097	0.198674189	359.3774488	0.000291156
125	3	0.004661201	0.002237275	2.10E-07	6.02E-07	2.88E-05	0.308719231	0.000238282	17.67606017	0.059064059	153.835578	0.000188492
126	3	0.006014949	0.003316664	1.78E-07	8.14E-07	1.12E-05	0.569153241	0.000235485	23.96533117	0.100826581	182.4955442	0.000176162
127	3	0.004866555	0.00273762	2.42E-07	6.05E-07	2.86E-05	0.52849481	0.000238684	16.55407818	0.054752407	125.3027745	0.00014137
128	3	0.006430948	0.002221154	2.20E-07	8.21E-07	2.04E-05	0.264565968	0.000162746	22.28823103	0.133269227	316.4050571	0.000344168
129	3	0.004278911	0.003342133	2.02E-07	8.43E-07	2.52E-05	0.397744678	0.000132773	40.93008505	0.211222818	348.76467	0.000902727
130	3	0.006058752	0.002601623	2.34E-07	8.72E-07	1.66E-05	0.53512677	0.000207653	24.83925107	0.096780374	209.1948527	0.000211792
131	3	0.003971908	0.002038968	2.11E-07	8.16E-07	1.45E-05	0.574398089	0.000283988	37.77694043	0.054644345	149.1021012	0.000247133
132	3	0.004954518	0.003395256	2.02E-07	7.14E-07	1.02E-05	0.466593803	0.00015859	37.99478274	0.129019716	225.0058324	3.38E-04
133	3	0.003620369	0.002451155	2.38E-07	8.42E-07	2.29E-05	0.287418259	0.000113837	63.24803369	0.205897038	434.8310165	0.002230061
134	3	0.006119977	0.003258155	1.57E-07	8.63E-07	2.04E-05	0.208340268	0.000289506	17.79602498	0.131629458	230.7585475	4.04E-04
135	3	0.005914871	0.002797036	2.19E-07	6.29E-07	2.52E-05	0.456964032	0.000110145	19.77731372	0.138732972	276.1017034	1.81E-04
136	3	0.0050031	0.00306018	2.24E-07	7.10E-07	1.48E-05	0.584037776	0.000251989	24.14027697	0.066099878	134.743098	1.84E-04
137	3	0.003664825	0.002757188	1.60E-07	9.74E-07	2.61E-05	0.517885363	0.000246041	40.97132653	0.123522013	249.0155703	0.000551614
138	3	0.005294278	0.00272338	1.66E-07	9.55E-07	2.80E-05	0.34471685	0.000251716	23.18960668	0.132900958	266.8389844	0.000339188
139	3	0.0049849	0.003317371	1.79E-07	6.57E-07	1.62E-05	0.255815385	0.000169488	26.07939447	0.134021787	239.1335125	0.000498901
140	3	0.003864954	0.003111643	1.55E-07	7.67E-07	2.42E-05	0.440591776	0.000275855	28.2083261	0.089615329	172.0511844	3.19E-04
141	3	0.004859888	0.003630841	1.82E-07	7.51E-07	1.28E-05	0.210196789	0.000230718	31.11860232	0.132162623	217.7391434	0.000527203
142	3	0.003934745	0.003957564	2.44E-07	9.92E-07	1.13E-05	0.369362385	0.000139051	87.515164	0.273863445	381.6634822	2.27E-03
143	3	0.005148306	0.002926554	2.13E-07	8.01E-07	2.58E-05	0.42776195	0.00024207	21.68639476	0.092479116	184.4652821	0.000255631
144	3	0.003628395	0.003251207	2.43E-07	9.93E-07	2.45E-05	0.54405269	0.000137512	63.83181895	0.206776747	345.1412625	1.63E-03
145	3	0.00351624	0.003486943	1.55E-07	8.60E-07	1.12E-05	0.26868981	0.000283952	56.87510388	0.132503842	222.792171	9.84E-04
146	3	0.003352186	0.002609086	2.17E-07	6.82E-07	2.95E-05	0.396716427	0.000107912	48.30803593	0.15758877	328.915594	1.00E-03
147	3	0.005563732	0.002810032	1.56E-07	8.52E-07	1.43E-05	0.357824374	0.000225942	26.93380138	0.127013459	253.8427913	0.00023272
148	3	0.006184431	0.003758074	2.28E-07	8.81E-07	1.84E-05	0.231323598	0.000228771	23.28479972	0.157839103	243.7768712	0.00052833
149	3	0.004523	0.002875378	1.91E-07	7.10E-07	1.46E-05	0.551760014	0.00024758	27.50422201	0.069009083	146.61963	0.000198956
150	3	0.006089952	0.002071666	2.05E-07	8.35E-07	1.49E-05	0.522711921	0.000179677	25.6054699	0.09446796	244.984064	0.00015393
151	3	0.004207342	0.002979269	2.28E-07	7.80E-07	2.67E-05	0.234651626	0.000235335	30.06228044	0.108445384	210.192985	0.000878321
152	3	0.006922874	0.003132857	1.71E-07	6.38E-07	1.13E-05	0.333650777	0.000105156	22.70504518	0.191730838	339.3337238	0.000212661
153	3	0.005227226	0.003691879	2.13E-07	8.40E-07	1.42E-05	0.460789485	0.000150783	37.55356988	0.181640439	281.5910846	0.00050272
154	3	0.004315667	0.003046348	1.62E-07	7.81E-07	2.99E-05	0.224764687	0.000179846	27.9186792	0.166939865	309.4031688	0.001069542
155	3	0.004171845	0.003104544	2.24E-07	7.27E-07	1.99E-05	0.50125852	0.000225734	31.11263022	0.081959952	160.7249389	3.37E-04
156	3	0.005775549	0.002273761	2.41E-07	7.52E-07	2.06E-05	0.583283725	0.000297723	16.6268473	0.049113239	126.0324613	0.000107286
157	3	0.006270584	0.002847791	2.32E-07	7.78E-07	1.76E-05	0.295566448	0.000241447	19.76107306	0.094546659	191.430299	2.41E-04
158	3	0.00370306	0.002476294	1.78E-07	6.16E-07	2.10E-05	0.515134643	0.0002885	24.47229586	0.047544836	118.1720174	1.31E-04
159	3	0.003965729	0.003391951	1.52E-07	9.07E-07	1.66E-05	0.506174918	0.000164466	50.10813911	0.198089944	330.1580295	0.000745259
160	3	0.00453666	0.002437253	2.06E-07	6.88E-07	1.33E-05	0.208157976	0.000179928	35.72410393	0.107239151	247.7981351	0.000808808
161	3	0.004693081	0.002006547	1.54E-07	6.76E-07	1.40E-05	0.292688983	0.00022007	26.89324354	0.076248771	209.5937755	0.000160103
162	3	0.005266192	0.003101499	1.84E-07	9.96E-07	1.30E-05	0.514872004	0.000270258	33.98714934	0.116616375	214.2307332	3.07E-04
163	3	0.005097204	0.002037678	1.76E-07	9.99E-07	2.42E-05	0.456645075	0.000143618	36.20051051	0.177685515	437.6048036	0.000447737
164	3	0.003484273	0.003113363	2.29E-07	7.66E-07	1.17E-05	0.455706586	0.000217421	59.2197339	0.094646225	182.0178032	0.000597232
165	3	0.003500619	0.003730523	1.99E-07	7.10E-07	1.62E-05	0.400039232	0.000233313	43.0200195	0.101470235	169.4743493	0.000601512
166	3	0.004776554	0.002651165	2.07E-07	6.06E-07	2.11E-05	0.392708921	0.000287165	18.02915988	0.051962834	121.1299318	1.27E-04
167	3	0.004313903	0.003606163	1.64E-07	6.31E-07	1.89E-05	0.494671455	0.000193102	25.07919966	0.098087644	170.9060976	0.000231221
168	3	0.005796149	0.003066181	1.71E-07	6.63E-07	1.80E-05	0.590025388	0.000187515	16.97732851	0.087079531	173.4434795	0.000131619
169	3	0.006706977	0.002616128	2.36E-07	8.24E-07	2.09E-05	0.515188348	0.000268456	15.87761907	0.072205141	159.4130149	0.000120336
170	3	0.005145485	0.002003661	1.87E-07	7.74E-07	2.27E-05	0.426146813	0.000129355	28.95747598	0.130638682	340.0471219	2.74E-04
171	3	0.004612467	0.002107964	1.64E-07	7.56E-07	1.92E-05	0.542933065	0.000166382	29.38395064	0.095279955	248.2850397	0.000222672
172	3	0.005428623	0.002394237	1.64E-07	9.07E-07	2.31E-05	0.222644416	0.000168456	27.82864293	0.18675046	409.8312643	0.000800032
173	3	0.004681446	0.002921728	2.04E-07	9.31E-07	3.00E-05	0.276031993	0.000176481	32.74443229	0.185821876	345.3755435	0.000826956
174	3	0.006969565	0.003359874	2.43E-07	8.55E-07	2.30E-05	0.211149442	0.000176522	19.29258638	0.180089225	298.74317	0.000665033
175	3	0.005372266	0.00346261	2.15E-07	6.25E-07	1.31E-05	0.398333287	0.000251131	21.35096779	0.073407342	135.4091373	0.000150392
176	3	0.004537476	0.002576636	1.69E-07	9.79E-07	1.80E-05	0.416549065	0.00012783	51.71594493	0.242203751	484.857656	0.000813339
177	3	0.003122066	0.0030969	1.90E-07	9.04E-07	1.33E-05	0.437457864	0.00019362	80.63353099	0.147412444	271.1887252	0.001059541
178	3	0.003341338	0.002994282	2.28E-07	6.54E-07	2.40E-05	0.405259134	0.000266146	34.11851139	0.065874193	136.463321	0.000426792
179	3	0.003019255	0.002713424	2.47E-07	6.58E-07	2.55E-05	0.31263126	0.000172196	50.13451016	0.100939367	216.1726565	0.00104199
180	3	0.005173638	0.002814477	2.42E-07	7.43E-07	1.23E-05	0.262270849	0.000151017	38.1751677	0.142975441	283.3095437	0.000591497
181	3	0.006252444	0.003259278	2.16E-07	8.66E-07	2.09E-05	0.238925263	0.00015719	24.68719652	0.204682637	344.7751512	0.00075391
182	3	0.006324874	0.002630041	2.10E-07	7.88E-07	2.32E-05	0.313812177	0.0001522	20.78164244	0.148334305	306.8244455	2.97E-04
183	3	0.005764227	0.003946957	1.78E-07	9.42E-07	2.80E-05	0.500911897	0.000267551	18.87393628	0.135775327	205.0038424	0.000299176
184	3	0.004036525	0.003894277	2.35E-07	9.37E-07	2.55E-05	0.540466211	0.000194751	41.51538896	0.155771079	234.6565734	0.000678275
185	3	0.006716738	0.002048487	2.23E-07	7.87E-07	2.18E-05	0.538802997	0.0002969	13.54785776	0.05162188	140.2448275	7.18E-05
186	3	0.006906789	0.00268971	1.78E-07	7.27E-07	1.67E-05	0.314082296	0.00020962	15.8385649	0.102208996	217.3421742	0.000112571
187	3	0.006663437	0.003341367	2.29E-07	6.73E-07	1.28E-05	0.447349396	0.000111149	25.33746225	0.169741423	285.0516576	0.00023622
188	3	0.005359766	0.002750072	1.52E-07	6.64E-07	2.01E-05	0.504815036	0.000257434	15.72851915	0.067101759	147.9384716	9.81E-05
