Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
994	30	6	0.000958408	0.005703655	3.26E-03	2.98E+04	2.63E+03	235.547896	118069.0831	21721.13005	5145.075921
995	24	9	0.000792009	0.001715775	1.86E-03	5.26E+03	1.63E+03	597.882034	22104.32454	14025.63772	11337.62455
996	24	12	0.000869915	0.002876571	3.24E-03	9.42E+03	3.38E+03	1768.730309	51459.8631	35339.23906	35479.69973
997	36	12	0.000831746	0.001601911	3.75E-03	1.84E+03	5.46E+02	185.7415725	10708.1603	6642.067507	5079.811718
998	3.60E+01	12	0.000883773	0.003447478	2.02E-03	1.60E+04	2.84E+03	464.8650157	95211.92614	35587.09045	13168.75421
999	24	9	0.000843702	0.001928034	3.13E-03	4.43E+03	1.48E+03	605.1432557	18380.26195	12383.50671	11239.00416
1000	30	6	0.000953277	0.001145703	2.41E-03	2.78E+03	4.89E+02	69.16027218	11315.5785	4301.338372	1474.737536
1001	24	9	0.000609537	0.004517184	1.51E-03	6.05E+04	1.08E+04	1679.710549	271798.431	96643.86371	32263.47646
1002	36	6	0.00068393	0.003435182	2.97E-03	6.79E+03	6.03E+02	56.92409817	30156.00942	5809.848799	1403.600017
1003	36	6	0.000743009	0.001360714	2.90E-03	1.55E+03	2.41E+02	30.6298452	7044.296373	2393.323752	717.4455968
1004	2.40E+01	9	0.000823767	0.001592871	1.39E-03	6.17E+03	1.81E+03	612.8286037	26160.92195	15869.76768	11800.32955
1005	36	6	0.000872118	0.00364181	1.70E-03	1.07E+04	9.55E+02	96.38991138	47123.61027	8872.07799	2366.098457
1006	30	6	0.000751421	0.003713251	2.54E-03	1.42E+04	1.51E+03	150.0639978	56201.15909	12690.02611	3259.759984
1007	30	9	0.000970947	0.002001783	1.05E-03	1.19E+04	2.30E+03	400.9992702	55832.06678	22817.33318	9285.912441
1008	36	6	0.000656479	0.003716942	1.06E-03	1.18E+04	8.91E+02	84.43654442	51571.98396	8298.112137	2081.135371
1009	3.00E+01	12	0.000507503	0.004339233	1.85E-03	3.60E+04	6.85E+03	1204.493516	211742.7175	81157.68226	29406.44596
1010	36	9	0.000608562	0.003222126	2.07E-03	1.13E+04	1.47E+03	168.5626866	57753.55099	16155.86305	4481.964537
1011	3.00E+01	9	0.000908999	0.002342682	1.12E-03	1.39E+04	2.54E+03	422.1535916	65158.2255	25200.91676	9794.538661
1012	3.60E+01	12	0.000541644	0.004139918	2.05E-03	2.36E+04	3.63E+03	484.4053945	142707.6056	45676.57931	13590.6078
1013	3.60E+01	12	0.000586638	0.001214947	1.87E-03	1.45E+03	4.23E+02	140.4489382	8438.980054	5147.7486	3796.774572
1014	24	6	0.000746956	0.003154723	2.84E-03	1.35E+04	2.34E+03	350.9731632	46309.58313	17307.27765	6278.072667
1015	36	12	0.000684674	0.001723139	2.89E-03	2.16E+03	6.11E+02	192.8266885	12581.4688	7459.146144	5250.626191
1016	3.00E+01	9	0.000643159	0.005894545	2.54E-03	5.75E+04	7.05E+03	725.9978366	280612.1668	69313.39803	16721.67135
1017	30	6	0.000848509	0.001209678	3.71E-03	1.67E+03	3.37E+02	58.33191958	6691.635795	2992.909299	1246.780833
1018	30	9	0.000716646	0.001607584	3.28E-03	2.19E+03	6.17E+02	188.6429674	9955.035117	5958.12951	4239.112847
1019	30	9	0.000765037	0.001773595	2.13E-03	4.06E+03	9.89E+02	243.6288702	18739.51663	9818.417168	5603.30529
1020	36	12	0.00067113	0.005393369	3.26E-03	3.23E+04	4.86E+03	630.4224628	196338.2007	61207.31896	17741.2265
