Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
702	30	9	0.000742659	0.003188695	1.89E-03	8.70E+04	2.61E+04	10382.54242	408252.294	219146.4785	146937.0344
703	24	6	0.000917559	0.004760427	1.51E-03	3.19E+05	1.20E+05	37341.88975	1727383.236	772529.8031	373838.7282
704	3.00E+01	6	0.000942733	0.005606913	1.97E-03	3.18E+05	1.33E+05	38431.16818	2498567.194	971615.5471	399176.3468
705	24	12	0.000730485	0.005539885	1.07E-03	3.64E+05	8.69E+04	22815.67424	2187442.938	904051.4751	409460.6745
706	24	12	0.000746934	0.001748132	1.13E-03	1.53E+04	4.99E+03	3386.082724	77145.05183	50214.20102	60349.37673
707	24	9	0.000514286	0.004923606	1.95E-03	2.36E+05	6.76E+04	22885.63861	1199644.148	591026.5264	327755.8612
708	36	12	0.000884363	0.002168727	3.07E-03	1.43E+04	4.55E+03	2867.528106	72281.23788	45917.21924	51320.04526
709	2.40E+01	9	0.000588075	0.002028707	1.17E-03	3.45E+04	1.09E+04	6069.973177	143519.8147	87385.39542	84190.66041
710	36	12	0.000701936	0.00212477	1.24E-03	3.09E+04	9.02E+03	3961.403057	162690.8458	92236.6984	71342.58358
711	36	9	0.000918848	0.001410005	1.73E-03	1.17E+04	3.80E+03	2379.649868	46408.45247	29387.56674	32668.08124
712	24	9	0.000971785	0.00333518	1.39E-03	1.15E+05	3.39E+04	13519.54928	518827.1773	279579.2404	190394.8832
713	24	9	0.00067569	0.001315767	1.09E-03	1.11E+04	3.76E+03	2936.565476	42683.61259	28659.78449	39471.53372
714	36	6	0.000910204	0.004392591	3.00E-03	1.59E+05	6.63E+04	21750.35297	1014070.073	458217.1004	224347.2333
715	30	9	0.000539484	0.002597822	3.49E-03	2.95E+04	9.48E+03	5660.693464	124813.1472	77016.83322	78449.08509
716	3.00E+01	9	0.000725652	0.001040132	3.43E-03	2.31E+03	8.81E+02	1128.647458	8519.247283	6391.534194	14190.10421
717	24	12	0.000899922	0.004089521	2.35E-03	8.65E+04	2.51E+04	11066.40222	451374.7938	256295.7804	199555.5877
718	24	6	0.000747456	0.001292011	1.80E-03	1.28E+04	4.48E+03	3647.5695	33994.36442	23006.40506	33420.2219
719	36	12	0.000686503	0.002107293	2.60E-03	1.53E+04	4.81E+03	2895.792948	77443.91964	48600.77984	51899.74344
720	36	9	0.000594684	0.005096404	2.12E-03	2.43E+05	7.18E+04	19702.9438	1621698.814	662422.915	289240.2659
721	36	12	0.000905824	0.002320198	3.20E-03	1.67E+04	5.25E+03	3180.990809	84420.14888	53065.6817	57021.30527
722	24	9	0.000711355	0.005449805	2.00E-03	2.96E+05	8.39E+04	26704.68867	1564009.166	734891.4538	383019.3414
723	30	9	0.000770199	0.001803777	3.37E-03	1.10E+04	3.74E+03	2979.239763	42745.6162	28667.14987	40062.46301
724	24	9	0.000895794	0.005137633	1.33E-03	3.40E+05	9.45E+04	27337.93494	1893023.485	827185.0247	392085.6398
725	30	12	0.000744357	0.003701863	1.21E-03	1.28E+05	3.37E+04	10835.35255	718311.0107	348738.0565	194630.5362
726	36	6	0.000799152	0.001446325	3.43E-03	1.26E+04	4.38E+03	2913.000742	36057.95532	23155.56062	27432.47185
727	30	9	0.000906319	0.001387166	3.55E-03	5.07E+03	1.82E+03	1851.879945	18997.72209	13527.03707	24152.73705
728	36	9	0.000902344	0.00215345	1.05E-03	5.43E+04	1.65E+04	6211.020702	256262.0298	134739.1656	87087.89041
729	24	9	0.000747507	0.003065576	1.54E-03	8.40E+04	2.54E+04	11256.72761	372511.4975	209417.0902	158249.8662
